id,sampletype,test
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Pleural' ) , (select id from clinlims.test where description='Coqueluche (Liquide Pleural)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Sécrétion de la gorge' ) , (select id from clinlims.test where description='Coqueluche (Sécrétion de la gorge)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Selles' ) , (select id from clinlims.test where description='Coqueluche (Selles)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='LCR' ) , (select id from clinlims.test where description='Entérite bactérienne (LCR)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Ascite' ) , (select id from clinlims.test where description='Entérite bactérienne (Liquide Ascite)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Pleural' ) , (select id from clinlims.test where description='Entérite bactérienne (Liquide Pleural)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Selles' ) , (select id from clinlims.test where description='Entérite bactérienne (Selles)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='LCR' ) , (select id from clinlims.test where description='Méningite à méningocoques (LCR)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Ascite' ) , (select id from clinlims.test where description='Méningite à méningocoques (Liquide Ascite)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Pleural' ) , (select id from clinlims.test where description='Méningite à méningocoques (Liquide Pleural)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Synovial' ) , (select id from clinlims.test where description='Méningite à méningocoques (Liquide Synovial)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Sécrétion de la gorge' ) , (select id from clinlims.test where description='Méningite à méningocoques (Sécrétion de la gorge)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Secretion Urethrale' ) , (select id from clinlims.test where description='Méningite à méningocoques (Secretion Urethrale)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Selles' ) , (select id from clinlims.test where description='Méningite à méningocoques (Selles)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='LCR' ) , (select id from clinlims.test where description='Pneumonie (LCR)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Ascite' ) , (select id from clinlims.test where description='Pneumonie (Liquide Ascite)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Pleural' ) , (select id from clinlims.test where description='Pneumonie (Liquide Pleural)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Sécrétion de la gorge' ) , (select id from clinlims.test where description='Pneumonie (Sécrétion de la gorge)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='LCR' ) , (select id from clinlims.test where description='Typhoïde (LCR)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Ascite' ) , (select id from clinlims.test where description='Typhoïde (Liquide Ascite)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Pleural' ) , (select id from clinlims.test where description='Typhoïde (Liquide Pleural)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Selles' ) , (select id from clinlims.test where description='Gaïac Test' )    
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Selles' ) , (select id from clinlims.test where description='Aspect macroscopique des selles' )  
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Selles' ) , (select id from clinlims.test where description='Examen microscopique direct' )  
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Selles' ) , (select id from clinlims.test where description='Examen microscopique après concentration' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='DBS' ) , (select id from clinlims.test where description='VIH Test Rapide (DBS)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='DBS' ) , (select id from clinlims.test where description='VIH Elisa (DBS)' )  
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='DBS' ) , (select id from clinlims.test where description='EID PCR (DBS)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='DBS' ) , (select id from clinlims.test where description='VIH Western Blot (DBS)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Plasma' ) , (select id from clinlims.test where description='Rougeole IGM (Plasma)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Serum' ) , (select id from clinlims.test where description='Rougeole IGM (Serum)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Prélèvement rhinopharyngé' ) , (select id from clinlims.test where description='Rougeole IGM (Prélèvement rhinopharyngé)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Plasma' ) , (select id from clinlims.test where description='Rougeole IGG (Plasma)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Serum' ) , (select id from clinlims.test where description='Rougeole IGG (Serum)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Prélèvement rhinopharyngé' ) , (select id from clinlims.test where description='Rougeole IGG (Prélèvement rhinopharyngé)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Serum' ) , (select id from clinlims.test where description='Rubéole IGM (Serum)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Prélèvement rhinopharyngé' ) , (select id from clinlims.test where description='Rubéole IGM (Prélèvement rhinopharyngé)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Serum' ) , (select id from clinlims.test where description='Rubéole IGG (Serum)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Prélèvement rhinopharyngé' ) , (select id from clinlims.test where description='Rubéole IGG (Prélèvement rhinopharyngé)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Selles' ) , (select id from clinlims.test where description='Polio (Selles)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='LCR' ) , (select id from clinlims.test where description='Polio (LCR)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='LCR' ) , (select id from clinlims.test where description='Recherche de BAAR (LCR)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Ascite' ) , (select id from clinlims.test where description='Recherche de BAAR (Liquide Ascite)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Pleural' ) , (select id from clinlims.test where description='Recherche de BAAR (Liquide Pleural)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Synovial' ) , (select id from clinlims.test where description='Recherche de BAAR (Liquide Synovial)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Crachat' ) , (select id from clinlims.test where description='Culture pour TB (Crachat)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='LCR' ) , (select id from clinlims.test where description='Culture pour TB (LCR)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Ascite' ) , (select id from clinlims.test where description='Culture pour TB (Liquide Ascite)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Pleural' ) , (select id from clinlims.test where description='Culture pour TB (Liquide Pleural)' ) 
 nextval( 'sample_type_test_seq' ) , (select id from clinlims.type_of_sample where description='Liquide Synovial' ) , (select id from clinlims.test where description='Culture pour TB (Liquide Synovial)' ) 
