id,has_select,has_add,has_update,has_delete,system_role_id,system_module_id
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Facsalibur user' ) , ( select id from system_module where name = 'Workplan:test' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Facsalibur user' ) , ( select id from system_module where name = 'Workplan:immunology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Hematology manual' ) , ( select id from system_module where name = 'LogbookResults:hematology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Hematology manual' ) , ( select id from system_module where name = 'AccessionResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Hematology manual' ) , ( select id from system_module where name = 'StatusResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Hematology manual' ) , ( select id from system_module where name = 'PatientResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Hematology manual' ) , ( select id from system_module where name = 'Workplan:test' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Hematology manual' ) , ( select id from system_module where name = 'Workplan:hematology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Sysmex user' ) , ( select id from system_module where name = 'AnalyzerResults:sysmex' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Sysmex user' ) , ( select id from system_module where name = 'AccessionResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Sysmex user' ) , ( select id from system_module where name = 'StatusResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Sysmex user' ) , ( select id from system_module where name = 'PatientResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Sysmex user' ) , ( select id from system_module where name = 'Workplan:test' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Sysmex user' ) , ( select id from system_module where name = 'Workplan:hematology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Serology manual' ) , ( select id from system_module where name = 'LogbookResults:serology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Serology manual' ) , ( select id from system_module where name = 'AccessionResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Serology manual' ) , ( select id from system_module where name = 'StatusResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Serology manual' ) , ( select id from system_module where name = 'PatientResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Serology manual' ) , ( select id from system_module where name = 'Workplan:test' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Serology manual' ) , ( select id from system_module where name = 'Workplan:serology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Evolis user' ) , ( select id from system_module where name = 'AnalyzerResults:evolis' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Evolis user' ) , ( select id from system_module where name = 'AccessionResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Evolis user' ) , ( select id from system_module where name = 'StatusResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Evolis user' ) , ( select id from system_module where name = 'PatientResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Evolis user' ) , ( select id from system_module where name = 'Workplan:test' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Evolis user' ) , ( select id from system_module where name = 'Workplan:serology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Biochemistry manual' ) , ( select id from system_module where name = 'AccessionResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Biochemistry manual' ) , ( select id from system_module where name = 'StatusResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Biochemistry manual' ) , ( select id from system_module where name = 'PatientResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Biochemistry manual' ) , ( select id from system_module where name = 'Workplan:test' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Biochemistry manual' ) , ( select id from system_module where name = 'Workplan:biochemistry' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Cobas Integra user' ) , ( select id from system_module where name = 'AnalyzerResults:cobas_integra' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Cobas Integra user' ) , ( select id from system_module where name = 'AccessionResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Cobas Integra user' ) , ( select id from system_module where name = 'StatusResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Cobas Integra user' ) , ( select id from system_module where name = 'PatientResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Cobas Integra user' ) , ( select id from system_module where name = 'Workplan:test' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Cobas Integra user' ) , ( select id from system_module where name = 'Workplan:biochemistry' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Virology manual' ) , ( select id from system_module where name = 'LogbookResults:virology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Virology manual' ) , ( select id from system_module where name = 'Workplan:virology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Virology manual' ) , ( select id from system_module where name = 'AccessionResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Virology manual' ) , ( select id from system_module where name = 'StatusResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Virology manual' ) , ( select id from system_module where name = 'PatientResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Virology manual' ) , ( select id from system_module where name = 'Workplan:test' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Virology manual' ) , ( select id from system_module where name = 'Workplan:virology' ) 
