description,localAbbreviation,domain,isActive,sortOrder,localization:en,localization:fr,localization:es,localization:id
Kulit bagian atas,KUBAAT,V,Y,320,Superficial Skin,Peau Superficielle,Piel Superficial,Kulit bagian atas
Lalat dan kecoa,LADAKE,V,Y,321,Fly and Cockroach,Mouche et Cafard,Mosca y Cucaracha,Lalat dan kecoa
Larva nyamuk,LANY,V,Y,322,Mosquito Larva,Larve de Moustique,Larva de Mosquito,Larva nyamuk
Nyamuk,NY,V,Y,323,Mosquito,Moustique,Mosquito,Nyamuk
Nyamuk dewasa,NYDE,V,Y,324,Adult Mosquito,Moustique Adulte,Mosquito Adulto,Nyamuk dewasa
Sampel lingkungan,SALI,V,Y,325,Environmental Sample,Échantillon Environnemental,Muestra Ambiental,Sampel lingkungan
Serum,SE,V,Y,326,Serum,Sérum,Suero,Serum
Serum binatang pembawa penyakit,SEBIPE,V,Y,327,Disease-Bearing Animal Serum,Disease-Bearing Animal Serum,Disease-Bearing Animal Serum,Serum binatang pembawa penyakit
Serum hewan,SEHE,V,Y,328,Animal Serum,Sérum Animal,Suero Animal,Serum hewan
Serum tikus,SETI,V,Y,329,Rat Serum,Sérum de Rat,Suero de Rata,Serum tikus
Swab Nasofaring binatang penyakit,SWNABI,V,Y,330,Nasopharyngeal Swab from Disease-Bearing Animal,Nasopharyngeal Swab from Disease-Bearing Animal,Nasopharyngeal Swab from Disease-Bearing Animal,Swab Nasofaring binatang penyakit
Swab naso/orofaring hewan,SWNAOR,V,Y,331,Animal Naso/Oropharyngeal Swab,Animal Naso/Oropharyngeal Swab,Animal Naso/Oropharyngeal Swab,Swab naso/orofaring hewan
Swab orofaring binatang penyakit,SWORBI,V,Y,332,Oropharyngeal Swab from Disease-Bearing Animal,Oropharyngeal Swab from Disease-Bearing Animal,Oropharyngeal Swab from Disease-Bearing Animal,Swab orofaring binatang penyakit
Swab rectal binatang pembawa penyakit,SWREBI,V,Y,333,Rectal Swab from Disease-Bearing Animal,Rectal Swab from Disease-Bearing Animal,Rectal Swab from Disease-Bearing Animal,Swab rectal binatang pembawa penyakit
Swab tenggorok,SWTE,V,Y,334,Throat Swab,Écouvillon Gorge,Hisopo de Garganta,Swab tenggorok
Swab tenggorok binatang pembawa penyakit,SWTEBI,V,Y,335,Throat Swab from Disease-Bearing Animal,Throat Swab from Disease-Bearing Animal,Throat Swab from Disease-Bearing Animal,Swab tenggorok binatang pembawa penyakit
Swab tenggorok hewan,SWTEHE,V,Y,336,Animal Throat Swab,Animal Throat Swab,Animal Throat Swab,Swab tenggorok hewan
Tanah,TA,V,Y,337,Soil,Sol,Suelo,Tanah
Usap debu,USDE,V,Y,338,Dust Swab,Prélèvement de Poussière,Hisopo de Polvo,Usap debu
