id,has_select,has_add,has_update,has_delete,system_role_id,system_module_id
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'TypeOfTestResult' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'UnitOfMeasure' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'ReportAdmin' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'SystemModule' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'SystemUserModule' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'UnifiedSystemUser' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Maintenance Admin' ) , ( select id from system_module where name = 'Analyte' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'User Admin' ) , ( select id from system_module where name = 'MasterList' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'User Admin' ) , ( select id from system_module where name = 'UnifiedSystemUser' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Intake' ) , ( select id from system_module where name = 'SamplePatientEntry' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name = 'PatientResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name = 'StatusResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name = 'AccessionResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name = 'LogbookResults:chem' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name = 'LogbookResults:HIV' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name = 'LogbookResults:bacteriology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name = 'LogbookResults:ECBU' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name = 'LogbookResults:hematology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name = 'LogbookResults:immuno' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name = 'LogbookResults:parasitology' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Results entry' ) , ( select id from system_module where name = 'LogbookResults' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Inventory mgr' ) , ( select id from system_module where name = 'Inventory' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Reports' ) , ( select id from system_module where name = 'ReportUserDetail' )  
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Reports' ) , ( select id from system_module where name = 'ReportUserOption' ) 
nextval( 'system_user_module_seq' ) ,Y,Y,Y,Y, ( select id from system_role where name = 'Reports' ) , ( select id from system_module where name = 'ReportUserRun' ) 
